Kab/Kota,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Sumatera Barat,0.34,0.33,0.318,0.321,0.306,0.305,0.306,0.3,0.28,0.283,0.282
Kab.Kep.Mentawai,0.28,0.31,0.319,0.306,0.336,0.273,0.321,0.233,0.259,0.267,0.291
Kab.Pesisir Selatan,0.28,0.27,0.299,0.255,0.246,0.264,0.253,0.246,0.259,0.224,0.238
Kab.Solok,0.29,0.31,0.294,0.303,0.285,0.277,0.246,0.243,0.235,0.241,0.219
Kab.Sijunjung,0.29,0.33,0.333,0.3,0.293,0.269,0.27,0.243,0.263,0.239,0.246
Kab.Tanah Datar,0.33,0.3,0.262,0.288,0.278,0.273,0.25,0.251,0.26,0.258,0.218
Kab.Padang Pariaman,0.3,0.26,0.28,0.296,0.297,0.257,0.269,0.245,0.257,0.253,0.258
Kab.Agam,0.31,0.29,0.279,0.257,0.251,0.278,0.272,0.298,0.255,0.249,0.232
Kab.Lima Puluh Kota,0.33,0.27,0.262,0.283,0.238,0.222,0.244,0.208,0.194,0.22,0.218
Kab.Pasaman,0.3,0.3,0.26,0.266,0.33,0.31,0.248,0.23,0.243,0.217,0.207
Kab.Solok Selatan,0.38,0.31,0.299,0.309,0.295,0.307,0.277,0.253,0.271,0.313,0.256
Kab.Dharmasraya,0.36,0.3,0.252,0.264,0.278,0.28,0.268,0.287,0.291,0.233,0.234
Kab.Pasaman Barat,0.29,0.31,0.286,0.29,0.283,0.258,0.261,0.277,0.238,0.24,0.257
Kota Padang,0.35,0.35,0.338,0.344,0.312,0.312,0.343,0.354,0.312,0.324,0.348
Kota Solok,0.34,0.34,0.299,0.296,0.271,0.286,0.277,0.288,0.256,0.251,0.302
Kota Sawahlunto,0.33,0.32,0.299,0.31,0.289,0.3,0.295,0.314,0.308,0.299,0.249
Kota Padang Panjang,0.37,0.38,0.3,0.29,0.322,0.394,0.306,0.296,0.273,0.266,0.275
Kota Bukittinggi,0.34,0.33,0.313,0.337,0.267,0.265,0.286,0.317,0.255,0.272,0.267
Kota Payakumbuh,0.37,0.34,0.303,0.302,0.276,0.325,0.316,0.311,0.316,0.313,0.271
Kota Pariaman,0.33,0.34,0.301,0.316,0.3,0.31,0.301,0.272,0.289,0.281,0.302
,,,,,,,,,,,
Catatan,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.",Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. ," Sumber: BPS, Survei Sosial Ekonomi Nasional",,,,,,,,