Wilayah,Jumlah Penduduk Miskin Menurut Kabupaten/kota di Sumatera Barat (Ribu Jiwa),,,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SUMATERA BARAT (Provinsi),379.6,371.55,364.51,357.13,348.22,344.23,370.67,335.21,340.37,345.73,312.35
Kepulauan Mentawai,13.16,13.09,12.95,12.99,13.22,13.37,14.31,13.74,13.76,14.19,13.74
Pesisir Selatan,38.13,35.86,35.53,34.92,36.51,35.46,37.41,33.78,35.09,36.05,31.53
Kab.Solok,36.42,34.06,33.33,32.89,29.74,29.28,30.36,27.16,27.33,28.18,25.23
Sijunjung,17.52,17.12,16.83,16.55,16.65,16.28,16.81,15.07,15.02,14.99,13.55
Tanah Datar,20.05,19.63,19.27,18.48,16.2,15.34,15.89,14.91,14.56,15,12.57
Padang Pariaman,35.87,36.34,34.7,33.2,29.48,28.98,30.41,26.44,26.93,26.76,25.08
Agam,36.06,37.55,36.57,32.92,33.1,33.31,34.26,31.33,33.41,34.82,30.57
Lima Puluh Kota,28.76,28.57,26.93,26.47,26.64,26.43,28.51,26,27.02,27.72,24.61
Pasaman,21.88,20.83,20.38,20.31,20.22,20.29,21.57,19.94,19.99,20.01,18
Solok Selatan,11.95,11.91,11.89,11.85,12.49,12.39,13.41,11.81,11.91,12.33,11.44
Dharmasraya,15.89,16.24,15.63,15.42,15.49,15.7,17.6,15.08,15.49,15.25,13.52
Pasaman Barat,32.34,30.76,30.84,31.83,31.53,31.64,34.97,32.91,33.52,34.6,31.68
Padang,44.43,42.56,43.75,44.04,42.44,42.17,48.44,42.37,41.97,41.4,37.38
Kota Solok,2.72,2.59,2.5,2.29,2.29,1.99,2.31,2.28,2.35,2.4,2.31
Sawahlunto,1.34,1.34,1.23,1.48,1.35,1.36,1.52,1.47,1.47,1.52,1.79
Padang Panjang,3.44,3.47,3.22,3.11,3,2.84,3.28,2.89,2.98,3.06,2.9
Bukittinggi,6.54,6.81,6.75,6.32,6,6.01,6.98,6.16,5.78,5.82,5.46
Payakumbuh,8.51,8.35,7.72,7.69,7.68,7.74,8.66,8.08,7.88,7.62,7.37
Pariaman,4.58,4.47,4.49,4.4,4.2,3.66,3.99,3.8,3.91,4.01,3.63
,,,,,,,,,,,
Catatan,"Mulai 2007 penghitungan Kemiskinan per Juli sebelumnya Maret, 2011-2014 penghitungan September, 2015 s.d sekarang Kondisi Maret "," Sumber: BPS, Survei Sosial Ekonomi Nasional",,,,,,,,,