Kabupaten/Kota,[Metode Baru] Pengeluaran Per Kapita Disesuaikan Menurut Kabupaten/Kota di Provinsi Sumatera Barat (Ribu Rupiah/Orang/Tahun),,,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Kab. Kepulauan Mentawai,5684,5771,6010,6211,6429,6281,6321,6567,6891,7192,7451
Kab. Pesisir Selatan,8412,8605,8819,9089,9444,9212,9270,9686,9953,10211,10633
Kab. Solok,9334,9664,9743,10035,10309,10171,10215,10539,10717,10988,11318
Kab. Sijunjung,9796,9895,10093,10277,10395,10361,10389,10582,11018,11395,11829
Kab. Tanah Datar,10103,10296,10331,10417,10709,10588,10616,10695,10905,11223,11552
Kab. Padang Pariaman,10260,10455,10579,10919,11158,10998,11050,11159,11432,11756,12089
Kab. Agam,8859,9111,9388,9489,9780,9651,9662,10171,10402,10686,11034
Kab. Lima Puluh Kota,8774,8936,9151,9500,9842,9596,9668,10035,10285,10648,10917
Kab. Pasaman,7340,7678,7882,8238,8599,8425,8440,8619,8908,9194,9518
Kab. Solok Selatan,9653,9802,9891,10199,10505,10325,10367,10560,10884,11240,11542
Kab. Dharmasraya,10713,10781,10851,11189,11431,11273,11324,11650,11901,12254,12604
Kab. Pasaman Barat,8109,8393,8704,8979,9180,9047,9089,9381,9538,9888,10231
Kota Padang,13522,13721,13957,14312,14728,14481,14540,14889,15089,15458,15957
Kota Solok,11350,11519,11673,11968,12337,12117,12168,12515,12709,12995,13504
Kota Sawahlunto,8931,9051,9343,9765,10238,10182,10195,10537,10829,11187,11501
Kota Padang Panjang,9670,9804,10240,10440,11013,10734,10754,11153,11310,11840,12148
Kota Bukittinggi,12330,12475,12816,13035,13586,13282,13331,13633,13859,14297,14579
Kota Payakumbuh,12622,12705,12858,13114,13464,13281,13317,13687,13978,14260,14536
Kota Pariaman,11814,12141,12425,12611,12958,12796,12818,13150,13355,13784,14261
Provinsi Sumatera Barat,9804,10126,10306,10638,10925,10733,10790,11130,11380,11718,12041
,,,,,,,,,,,
Catatan,Sumber : Survei Sosial Ekonomi Nasional,,,,,,,,,,