Kabupaten/ Kota_,[Seri 2010] Produk Domestik Regional Bruto per Kapita Menurut Kabupaten/Kota di Provinsi Sumatera Barat (Ribu Rupiah),,,,,,,,,,,,,,,,,,,
,Harga Berlaku,,,,,,,,,,Harga Konstan 2010,,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Kab. Kep. Mentawai,-,-,45120.99,47058.57,50124.57,53187.51,54602.69,60449.32,64696.41,67335.09,-,-,30910.91,31819.95,32359.78,33832.43,34279.12,35424.6,36314.72,37214.76
Kab. Pesisir Selatan,-,-,26393.87,28316.76,30115.1,28040.42,29268.25,32076.51,34311.43,35994.91,-,-,18977.34,19838.63,20545.67,18839.76,19193.36,19666.16,20192.61,20669.81
Kab. Solok,-,-,31961.37,34097.79,36207.85,34771.71,35878.57,39424.46,42717.02,44811.95,-,-,24315.41,25411.2,26409.94,25071.22,25595.64,26350.96,27155.12,27868.3
Kab. Sijunjung,-,-,34452.56,36309.22,38152.6,38995.47,40298.52,44343.29,47912.76,50608.6,-,-,26665.14,27573.64,28178.17,28523.6,29031.31,29774.42,30645.55,31440.75
Kab. Tanah datar,-,-,32974.05,35125.43,37530.1,35096.76,36286.14,39722.35,42899.63,45066.39,-,-,25339.46,26552.48,27764.72,25806.67,26403.64,27171.12,28039.06,28778.07
Kab. Padang Pariaman,-,-,46321.75,49454.88,50951.83,41723.04,42314.5,50018.81,55541.68,58385.81,-,-,30048.9,31509.24,31965.36,27775.66,27962.86,29364.83,30441.27,31294.01
Kab. Agam,-,-,36827.23,39240.35,41609.17,38630.69,39910.9,43936.8,47405.31,50019.19,-,-,27358.2,28575.77,29592.73,27317.46,27815.28,28598.2,29491.2,30299.71
Kab. Lima Puluh Kota,-,-,35980.33,38273.91,40605.55,40594.76,41809.89,45693.37,49452.22,51985.41,-,-,26919.44,28070.8,29085.73,28895.03,29533.39,30350.94,31357.17,32242.45
Kab. Pasaman,-,-,28295.94,29872.04,31469.32,30021.57,31089.87,33702.16,36272.01,38245.84,-,-,20361.68,21162.53,21819.69,20492.8,20857.33,21362.72,21956.88,22473.2
Kab. Solok Selatan,-,-,29551.83,30965.02,32249.5,30541.37,31309.49,34198.77,36777.77,38905.35,-,-,21815.07,22523.38,23009.96,21691.77,21992.13,22448.13,23045.42,23558.8
Kab. Dharmasraya,-,-,38450.95,40144.06,41175.9,44981.49,46449.67,51885.54,55626.38,58713.54,-,-,29061.06,29823.39,30078.87,32737.14,33285.62,34090.5,34958.39,35697.69
Kab. Pasaman Barat,-,-,32061.45,33523.36,34315.25,35460.71,36472.06,40305.71,43428.06,46258.89,-,-,24302.63,25081.09,25426.35,26173.81,26725.88,27414.77,28185.52,28922.9
Kota Padang,-,-,57271.27,61235.34,65134.22,68509.35,70884.26,78356.31,84528.01,88225.31,-,-,42799.63,44809.92,46389.56,48072.5,49185.54,50652.05,52300.56,54090.13
Kota Solok,-,-,50567.56,53431.79,56475.3,55292.97,57010.4,62881.64,67599.73,69987.76,-,-,37619.66,39078.01,40130.88,38795.41,39373.94,40296.16,41356.98,42358.67
Kota Sawahlunto,-,-,51552.41,55002.08,58615.94,56292.49,58530.13,65736.69,71213.67,73597.61,-,-,40997.27,42903.16,44545.73,42503.87,42994.67,44045.48,45342.93,46502.14
Kota Padang Panjang,-,-,56738.6,60347.06,64189.47,61920.25,64124.46,70732.08,76314.4,80012.14,-,-,44117.22,46133.03,47670.67,45343.43,46214.8,47543.66,49121.63,50627.07
Kota Bukittinggi,-,-,58776.59,62205.9,65897.07,71391.02,74000.97,82853.97,89736.81,93968.08,-,-,43243.1,45133.22,46623.24,50021.8,51345.23,53279.75,55377.42,57434.76
Kota Payakumbuh,-,-,42783.55,45883.04,49878.09,49100.25,51809.22,57733.99,62019.97,64205.93,-,-,30328.36,31702.08,32799.69,31747.46,32438.39,33437.94,34541.85,35639.7
Kota Pariaman,-,-,49747.28,52675.53,56123,53202.8,55412.03,61227.85,66200.85,69169.9,-,-,37339.06,38930.17,40274.72,37761.77,38661.12,39923.49,41343.83,42711.57
Jumlah,-,-,40057.75,42583.61,44954.25,43869.37,45308.9,50212.62,54252.31,56915.13,-,-,29555.97,30828.74,31780.39,30877.96,31478.41,32405.7,33410.71,34360.55
Provinsi Sumatera Barat,-,-,40194.29,42802.66,44885.51,43825.66,45218.16,50263.83,54326.6,57047.21,-,-,29312.17,30470.8,31427.29,30696.21,31264.98,32166.76,33188.07,34167.59
,,,,,,,,,,,,,,,,,,,,
Catatan,2023: angka sangat sementara,2024: angka sangat-sangat sementara,,,,,,,,,,,,,,,,,,