Kabupaten/Kota,[Metode Baru] Rata-Rata Lama Sekolah Menurut Kabupaten/Kota di Provinsi Sumatera Barat (Tahun),,,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Kab. Kepulauan Mentawai,6.27,6.52,6.69,6.95,7.08,7.09,7.2,7.48,7.76,8.03,8.21
Kab. Pesisir Selatan,8.11,8.12,8.13,8.14,8.25,8.26,8.27,8.43,8.58,8.81,9.06
Kab. Solok,7.57,7.58,7.6,7.84,7.85,7.86,7.87,7.89,7.9,7.91,8.25
Kab. Sijunjung,7.33,7.5,7.72,7.77,8.1,8.11,8.12,8.3,8.57,8.62,8.66
Kab. Tanah Datar,7.93,8.12,8.14,8.44,8.45,8.61,8.62,8.9,9.02,9.29,9.46
Kab. Padang Pariaman,6.89,7,7.21,7.5,7.86,7.87,7.88,8.16,8.41,8.42,8.78
Kab. Agam,8.17,8.18,8.39,8.69,8.85,8.96,8.97,8.98,9.22,9.23,9.57
Kab. Lima Puluh Kota,7.91,7.92,7.96,7.97,7.98,7.99,8.07,8.08,8.12,8.13,8.49
Kab. Pasaman,7.63,7.64,7.65,7.66,7.86,8.09,8.1,8.11,8.13,8.14,8.41
Kab. Solok Selatan,7.98,7.99,8,8.15,8.16,8.28,8.32,8.41,8.69,8.85,9.2
Kab. Dharmasraya,8.03,8.23,8.24,8.25,8.46,8.47,8.55,8.56,8.71,8.98,9.31
Kab. Pasaman Barat,7.83,7.84,7.85,7.86,8.06,8.19,8.27,8.55,8.81,8.99,9.28
Kota Padang,10.97,11.24,11.32,11.33,11.34,11.58,11.59,11.6,11.62,11.63,11.64
Kota Solok,10.77,10.79,10.95,11.01,11.02,11.03,11.04,11.35,11.36,11.37,11.38
Kota Sawahlunto,9.66,9.92,9.93,9.94,9.97,10.17,10.32,10.43,10.44,10.53,10.54
Kota Padang Panjang,11.09,11.42,11.43,11.44,11.45,11.62,11.63,11.92,11.94,12,12.01
Kota Bukittinggi,10.79,10.98,11.3,11.31,11.32,11.33,11.34,11.63,11.64,11.65,11.66
Kota Payakumbuh,10.29,10.3,10.45,10.46,10.72,10.73,10.81,10.82,10.88,10.89,11.08
Kota Pariaman,9.96,10.09,10.1,10.36,10.37,10.59,10.67,10.78,10.79,11.06,11.32
Provinsi Sumatera Barat,8.42,8.59,8.72,8.76,8.92,8.99,9.07,9.18,9.28,9.44,9.77
,,,,,,,,,,,
Catatan,Sumber : Survei Sosial Economi Nasional,,,,,,,,,,