Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota (Persen),,,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Kab. Kepulauan Mentawai,1.25,-,1.96,2.31,2.92,3.98,2.79,1.39,1.33,1.44,1.53
Kab. Pesisir Selatan,11.69,-,5.95,6.03,6.02,7,5.97,4.61,4.75,5.06,5.1
Kab. Solok,3.97,-,6.05,6.12,4.72,4.65,4.67,5.89,4.99,4.91,4.7
Kab. Sijunjung,4.26,-,3.32,3.22,3.64,5.3,3.57,4.87,4.71,4.73,4.59
Kab. Tanah Datar,4.46,-,3.72,4.01,3.2,4.79,4.63,5.91,5.35,5.3,5.26
Kab. Padang Pariaman,5.8,-,6.65,7.03,6.08,8.13,8.41,6.6,6.69,6.59,6.48
Kab. Agam,6.05,-,4.23,4.93,4.78,4.61,5.06,4.93,4.96,4.73,4.71
Kab. Lima Puluh Kota,3.78,-,2.6,2.73,2.3,3.03,2.25,3.72,3.95,3.68,3.78
Kab. Pasaman,5.06,-,6.81,6.04,5.28,5.04,4.92,5.38,5.09,5.25,5.29
Kab. Solok Selatan,6.3,-,5.54,5.84,4.91,5.62,4.84,3.71,2.57,2.3,2.13
Kab. Dharmasraya,3.51,-,3.69,4.02,5.06,5.31,5,6.23,6.22,6.02,5.51
Kab. Pasaman Barat,3.79,-,3.99,3.36,4.74,4.69,5.02,6.33,6.01,6.34,5.95
Kota Padang,14,-,9.44,9.29,8.74,13.64,13.37,11.69,10.86,9.88,9.7
Kota Solok,4.72,-,5.88,6.03,7.06,8.35,5.15,3.9,3.72,3.62,3.87
Kota Sawahlunto,7.18,-,6.19,5.92,6.84,8.2,6.38,5,4.98,5.55,4.64
Kota Padang Panjang,6.33,-,5.43,5.35,4.38,7.22,4.9,4.84,5.49,4.94,5.07
Kota Bukittinggi,6.04,-,6.94,7.24,6.2,7.51,6.09,4.9,4.99,4.72,4.41
Kota Payakumbuh,7.07,-,3.45,3.95,4.13,6.68,6.47,5.16,4.84,4.87,4.96
Kota Pariaman,6.61,-,5.97,5.82,5.48,5.73,6.09,5.19,5.68,5.32,5.16
Provinsi Sumatera Barat,6.89,5.09,5.58,5.66,5.38,6.88,6.52,6.28,5.94,5.75,5.62
,,,,,,,,,,,
Catatan,Sumber: Survei Angkatan Kerja Nasional (Sakernas),,,,,,,,,,